task_id,runtime,rating
42,1.7008,4
13,2.8784,4
46,4.156,5
14,5.0733,3
47,5.6557,4
26,6.2013,5
8,7.0261,2
45,7.7796,6
41,8.4059,3
10,9.485,3
40,9.8732,6
12,10.7853,2
19,11.5288,7
36,12.2012,4
5,12.7201,3
16,13.5761,5
37,14.6171,6
2,15.7088,6
44,16.1329,4
18,17.1214,4
24,17.6343,7
1,19.3538,3
4,20.082,4
35,20.5482,2
42,18.4799,7
13,19.2149,7
46,20.3867,1
14,23.36,1
47,30.5523,1
26,39.6646,2
8,43.2129,2
45,44.1795,7
41,46.2421,1
10,46.9283,1
40,47.8527,1
12,50.1156,6
19,51.959,7
36,52.6002,7
5,54.9975,2
16,57.4013,6
37,58.1049,6
2,60.2347,6
44,61.029,1
18,62.3531,2
24,63.1426,7
1,64.2356,6
4,64.7744,6
35,65.5534,1
9,9.0814,6
6,10.8689,6
31,12.4806,6
30,14.5304,7
20,16.8961,2
3,18.0112,6
17,21.1132,2
39,22.2193,2
28,23.1078,6
38,24.2908,6
21,25.0551,6
33,26.1013,5
27,27.2161,6
29,28.3618,1
11,31.1132,2
34,32.3351,6
48,33.1324,7
22,33.7327,1
15,34.9711,2
23,35.7311,1
43,36.4516,6
32,37.8273,4
7,38.5132,2
25,39.2931,6
9,8.2591,2
6,10.6131,6
31,12.4424,7
30,13.8754,5
20,16.5879,5
3,17.9187,4
17,19.6525,5
39,20.4699,2
28,21.3403,4
38,22.5574,3
21,23.4734,7
33,24.7223,6
27,25.9514,5
29,27.5606,3
11,28.4485,3
34,29.5998,4
48,30.4348,6
22,31.11,1
15,32.2022,2
23,33.6436,5
43,34.5227,7
32,35.351,4
7,36.1231,5
25,37.5777,7
42,3.529,2
13,4.5173,6
46,5.0989,1
14,6.6098,1
47,7.4902,1
26,8.7686,1
8,13.6939,6
45,14.0291,7
41,15.1033,2
10,60.4702,2
40,61.0819,7
12,61.8083,5
19,62.5933,7
36,63.4146,7
5,65.1067,5
16,291.788,2
37,292.4748,7
2,293.1613,6
44,294.1251,2
18,295.092,6
24,295.5139,7
1,296.5624,2
4,297.2356,1
35,297.856,1
9,12.63,2
6,13.8732,3
31,15.0985,6
30,16.2151,6
20,18.705,2
3,20.145,5
17,22.41,3
39,23.5416,3
28,24.64,6
38,26.0836,4
21,26.895,6
33,27.5083,6
27,28.1383,6
29,29.1049,3
11,30.565,5
34,31.2167,1
48,32.2084,6
22,33.1216,2
15,34.175,1
23,35.1816,1
43,36.1283,6
32,36.8799,1
7,38.2616,3
25,38.6914,6
42,16.7536,3
13,18.134,1
46,21.2466,3
14,23.2318,1
47,25.4243,5
26,27.0392,1
8,28.3732,6
45,29.369,7
41,30.2462,4
10,31.613,2
40,32.3674,7
12,33.7823,4
19,37.082,5
36,38.541,5
5,39.1005,2
16,40.003,5
37,41.3981,4
2,42.6986,1
44,44.4148,5
18,45.7047,3
24,46.7579,6
1,47.3742,1
4,48.6551,6
35,49.4812,5
42,11.7769,2
13,12.8903,5
46,14.3787,2
14,18.6955,2
47,20.6007,2
26,21.9839,4
8,24.5312,2
45,25.3509,7
41,27.1696,5
10,28.3701,5
40,29.0848,5
12,30.1839,5
19,31.1681,7
36,32.9601,6
5,34.8184,5
16,36.1117,5
37,36.5937,5
2,37.743,5
44,57.292,2
18,58.2374,5
24,58.7502,6
1,59.3512,5
35,60.8726,3
42,15.3491,6
13,16.1248,2
46,16.8037,7
14,28.657,2
47,33.0575,1
26,34.2952,7
8,37.6285,2
45,38.3038,7
41,40.7151,5
10,41.9422,5
40,42.4308,6
12,43.2517,2
19,44.1387,7
36,45.09,4
5,46.6858,5
16,47.9032,6
37,48.5124,5
2,49.6961,1
44,50.9276,4
18,51.8893,2
24,52.4657,7
1,53.9691,6
4,54.5316,5
35,55.1091,5
9,15.34,4
6,17.2351,6
31,18.703,7
30,19.9107,5
20,21.9151,6
3,23.2093,4
17,24.9618,7
39,26.7888,2
28,27.6358,5
38,28.5531,6
21,31.2311,6
33,33.384,6
27,35.4635,2
29,36.149,7
11,37.1439,2
34,38.3434,5
48,39.3639,6
22,40.1535,1
15,40.5972,2
23,41.59,6
43,42.2789,6
32,43.3237,4
7,44.5734,2
25,45.4684,5
42,8.7005,2
13,10.0893,6
46,11.0302,1
14,148.9929,2
47,150.2783,1
26,152.4378,2
8,166.7859,6
45,167.3261,7
41,169.6534,6
10,170.9278,2
40,171.7647,7
12,172.6919,5
19,173.6626,7
36,174.3337,7
5,175.3218,5
16,176.3576,7
37,176.8443,5
2,177.9045,6
44,179.0221,2
18,179.8332,1
24,180.1784,7
1,180.7749,2
4,181.2264,6
35,182.2831,5
